a,آ
haşefe,حشفه
haşere,حشره
haşhaş,خشخاش
haşin,خشين
haşir,حشر
hâşiye,حاشيه
haşiv,حشو
haşlama,خاشلامه
haşlamak,خاشلامق
haşlanmak,خاشلانمق
haşlatmak,خاشلاتمق
haşmet,حشمت
haşmetli,حشمتلى
Haşmetlû,حشمتلو
hat,خط
hatâ,خطا
hatab,حطب
hatâen,خطاءً
hatır,خاطر
hâtıra,خاطره
hâtırât,خاطرات
hatırlamak,خاطرلامق
hatırlatmak,خاطرلانمق
hatırlı,خاطرلى
hatırşinâs,خاطرشناس
hatırşinaslık,خاطرشناسلق
hatib,خطيب
hâtif,هاتف
hatim,ختم
hâtime,خاتمه
hatmetmek,ختم ايتمك
hattâ,حتى
hattat,خطاط
hattatlık,خطاطلق
hattıdest,خط دست
hattıharaket,خط حركت
hâtun,خاتون
hatve,خطوه
hav,خاو
hava,هوا
havadan,هوادن
havâdâr,هوادار
havâdarlık,هوادارلق
havâdireği,هواديركى
havâdis,حوادث
havâi,هوائى
havala,حواله
havalandırmak,هوالانديرمق
havalanmak,هوالانمق
havâle,حواله
havâleli,حواله‌لى
havâlenâme,حواله‌نامه
havalı,هوالى
havan,هاوان
havana,هاوانا
havari,حوارى
havas,خواص
havasız,هواسز
havasızlık,هواسزلق
havhav,هاوهاو
hâvi,حاوى
havlamak,هاولامق
havlı,خاولى
havlu,حاولو
havra,هاورا
havra,خاورا
havruz,هاوروز
havsala,حوصله
havuç,هاوچ
havuz,حوض
havuzlamak,حوضلامق
havuzlanmak,حوضلانمق
havuzlu,حوضلى
Havva,حواء
havya,حاويا
havyar,خاويار
havza,حوضه
Havza,حوضه
hay,هاى
hâyâ,حياء
haye,خايه
hayâl,خيال
hayâlât,خيالات
hayalci,خيالجى
hayâlet,خيالت
hayâli,خيالى
hayalmeyal,خيال ميال
hayâsız,حياسز
hayâsızlık,حياسزلق
hayat,حيات
hayat,حياط
hayâtî,حياتى
hayâtiyet,حياتيت
haydalamak,هايدالامق
haydariye,حيدريه
haydi,هايدى
haydin,هايدڭ
haydud,حيدود
haydut,هايدوت
haydutluk,هايدوتلق
hayfâki,حيفاكه
hayhay,هاى‌هاى
hayhuy,هاى‌هوى
hayıf,حيف
hayıflanmak,حيفلانمق
hayır,خير
hayır,خاير
hayırhah,خيرخواه
hayırhahlık,خيرخواهلق
hayırlaşmak,خيرلاشمق
hayırlı,خیيرلى
hayırsız,خيرسز
hayır,خيض
hayır,خاير
haykırmak,هايقيرمق
haykırtmak,هايقيرنمق
haylaz,هايلاز
haylaz,خايلاز
haylazlık,هايلازلق
haylazlık,خايلازلق
hayli,خيلى
haymana,هايمانه
Haymana,حايمانا
Hayrabolu,خيره‌بولىى
hayran,حيران
hayranlık,حيرانلق
hayrat,خيرات
hayret,حيرت
haysiyet,حيثيت
haysiyetli,حيثيتلى
haysiyetsiz,حيثيتسز
hayta,هايطه
hayvan,حيوان
hayvânî,حيوانى
hayvâniyet,حيوانيت
hayvanlık,حيوانلق
haz,حظ
hazâkat,حذاقت
hazâkatli,حذاقتلى
hazar,حضر
hazarî,حضرى
hazer,حذر
hazf,حذف
hazfetmek,حذف ايتمك
hâzık,حاذق
hazım,هضم
hâzım,هاضم
hazır,حاضر
hazırcı,حاضرجى
hazırcılık,حاضرجيلق
hazırlanmak,حاضرلانمق
hazırlamak,حاضرلامق
hazırlatmak,حاضرلاتمق
hazırlık,حاضرلق
hazırlop,حاضرلوپ
hazîn,حزين
hazîne,خزينه
hazînedâr,خزينه‌دار
hazîran,حزيران
hazmetmek,هضم ايتمك
hazmî,هضمى
hazne,خزنه
haznedâr,خزنه‌دار
haznedarlık,خزنه‌دارلق
hazret,حضرت
Hazretleri,حضرتلرى
hazzetmek,حظ ايتمك
he,هه
hebâ,هبا
hece,هجا
hecelemek,هجالمك
heceli,هجالى
hecin,هجين
hedef,هدف
heder,هدر
hedim,هدم
hediye,هديه
hediyelik,هديه‌لك
hedmetmek,هدم ايتمك
hegemonya,هگمونيا
hekim,هكيم
hekim,حكيم
Hekimhan,حكيم‌خان
hekimlik,هكيملك
hektar,هكتار
hektarlık,هكتارلق
hektogram,هكتوغرام
hektolitre,هكتوليتره
hektometre,هكتومتره
helâk,هلاك
helâl,حلال
helâllaşmak,حلاللاشمق
helâllı,حلاللى
helâllık,حلاللق
helâlzâde,حلالزاده
hele,هله
helecan,خلجان
helehele,هله‌هله
helezon,حلزون
helezonî,حلزونى
helile,هليله
helva,حلوا
helvacı,حلواجى
helvahâne,حلواخانه
helyum,هليوم
hem,هم
hemasır,همعصر
hemcins,همجنس
hemcinslik,همجنسلك
hemcivar,همجوار
hemcivarlık,همجوارلق
hemderd,همدرد
hemen,همان
hemhâl,همحال
hemhudud,همحدود
hemmeşreb,هممشرب
hemsohbet,همصحبت
hemşeri,همشهرى
hemşerilik,همشهريلك
hemşire,همشيره
hemşirezâde,همشيره‌زاده
hemze,همزه
hemzeli,همزه‌لى
hendek,خندك
hendek,هندك
Hendek,هندك
hendese,هندسه
hendesehâne,هندسه‌خانه
hendeseli,هندك
hendesesiz,هندسه‌سز
hendesi,هندسى
henüz,هنوز
hep,هپ
hepsi,هپسى
her,هر
herbir,هربر
hercâî,هرجائى
hercâîlik,هرجائيلك
hercümerc,هرج ومرج
herdem,هردم
hergele,هرگله‌
hergele,خرگله
hergele,هركله‌
hergele,خركله
hergün,هرگون
hergünkü,هرگونكى
hergünlük,هرگونلك
herkes,هركس
herkim,هركيم
herif,حريف
hernasıl,هرناصل
hernasılsa,هرناصلسه
herne,هرنه‌
hernedense,هرنه‌دن ايسه
hernekadar,هرنه‌قدر
hernerede,هرنره‌ده
hernetürlü,هرنه‌درلو
hernevakit,هرنه‌وقت
herneyse,هرنه‌ايسه
hervakit,هروقت
heryerde,هريرده
herzaman,هرزمان
herze,هرزه
herzegû,هرزه‌كو
hesab,حساب
hesabçı,حسابجى
hesâbî,حسابى
hesabkitab,حساب كتاب
hesablamak,حسابلامق
hesaplaşmak,حسابلاشمق
hesablı,حسابلى
hesabsız,حسابسز
hesabsızlık,حسابسزلق
hevâilik,هوائيلك
hevenk,هونك
heves,هوس
heveskâr,هوسكار
heveskârlık,هوسكارلق
hevesli,هوسلى
hey,هى
heybe,هكيه
heybeli,هكيه‌لى
Heybeliada,هكيه‌لى آطه
heybet,هيبت
heybetli,هيبتلى
heyecan,هيجان
heyecanlı,هيجانلى
hey’et,هيأت
hey’et,هيئت
hey’etşinâs,هأتشناس
heyhât,هيهات
heyhey,هى هى
heykel,هيكل
heykeltraş,هيكلتراش
heykeltraşlık,هيكلتراشلق
heyûlâ,هيولا
hezarfen,هزارفن
hezec,هزج
hezel,هزل
hezeliyat,هزليات
hezeyan,هذيان
hezîmet,هزيمت
hıçkırık,هيچقيريق
hıçkırık,هيچقيريق
hıçkırma,هيچقيرمه
hıçkırmak,هيچقيرمق
hıdırellez,خضرالياس
hıdiv,خديو
hıfız,حفظ
hıfzetmek,حفظ ايتمك
hilâl,هلال
hilâli,هلالى
hıl’at,خلعت
hılki,خلقى
hım,خيم
hımhım,خيم‌خيم
hımhımlamak,خيمخيلامق
hımhımlık,خيمخيملق
hıncahınç,خنجاخنج
hınç,خنج
Hınıs,خينص
hınzır,خنزير
hınzırlık,خنزيرلق
hır,خير
hırçın,خيرجين
hırçınlık,خيرجينلق
hırdavat,خردوات
hırdavatçı,خرده‌واتجى
hırgür,خيركور
hırıldamak,خيريلدامق
hırıldaşmak,خيريلداشمق
hırıltı,خيريلتى
hırıltıcı,خيريلتيجى
hıristiyan,خرستيان
hıristiyanlık,خرستيانلق
hırka,خرقه
hırlamak,خيرلامق
hırs,حرص
hırsız,خيرسز
hırsız,خرسز
hırsızlama,خرسزلامه
hırsızlık,خرسزلق
hırsızyatağı,خرسزيتاغى
hırslandırmak,حرصلانديرمق
hırslanmak,حرصلانمق
hırslı,حرصلى
Hırvat,خروات
hısım,خضم
hısımlık,خصملق
hışıldamak,خيشيلدامق
hışıltı,خيشيلتى
hışım,خشم
hışır,خيشير
hışırdamak,خيشيردامق
hışırdatmak,خشيرداتمق
hışırtı,خيشيرتى
hıyâban,خيابان
hıyânet,خيانت
hıyar,خيار
hıyarcık,خيارجق
hız,خيز
hızır,حضر
hızlanmak,خيزلانمق
hızlı,خيزلى
hibe,هبه
hicâb,حجاب
hicâblı,حجابلى
Hollanda,هولاندا
Hollandalı,هولاندالى
hor,خور
hora,خورا
horasâni,خراسانى
Horasan,خراسان
horhor,خورخور
horlamak,خورلامق
horluk,خورلق
horoz,خوروز
horozakıllı,خوروز عقللى
horozayağı,خوروزآياغى
horozayağı,خروس آياغى
horozcuk,خوروزجق
horozibiği,خوروزايبيكى
horozlanmak,خوروزلانمق
horozoğlu,خوروزاوغلى
horoztarağı,خوروزطاراغى
horozyumurtası,خوروزيومورطه‌سى
hortlamak,خورتلامق
hortum,خورطوم
horuldamak,خورلدامق
hoş,خوش
hoşaf,خوشاف
hoşbeş,خوش بش
hoşlandırmak,خوشلانديرمق
hoşlanmak,خوشلانمق
hoşlaşmak,خوشلاشمق
hoşluk,خوشلق
hoşmerim,خوشمريم
hoşnud,خشنود
hoşnudluk,خشنودلق
hotoz,خوطوز
hotozlu,خوطوزلى
hovarda,خوواردا
hovardalık,خوواردالق
hoyrat,خويرات
hoyratlık,حويراتلق
hozat,خوزات
hödük,هودوك
hörgüç,هوركوچ
hû,هو
hubûbat,حيوبات
Hudâ,خدا
hud’a,خدعه
hudâyinâbit,خدايى نابت
hudut,حدود
hukûkî,حقوقی
hulâsa,خلاصه
hulâsaten,خلاصةً
hulefâ,خلفا
hulûl,حلول
hulûli,حلولى
hulûs,خلوص
hulûskâr,خلوصكار
hulûskârlık,خلوصكارلق
humar,خمار
hummâ,حما
humus,خمس
hûn,خون
huni,هونى
huni,خونى
hunhâr,خونخوار
hunharlık,خونخوارلق
hurâfat,خرافات
hurâfe,خرافه
hurc,خرج
hurda,خرده
hurdacı,خرده‌جى
hurdebin,خرده‌بين
hurdehaş,خردخاش
hûri,حورى
hurma,خرما
hurûc,خروج
hurûfât,حروفات
husûf,خسوف
husûl,حصول
husûmet,خصومت
husûs,خصوص
husûsî,خصوصى
husûsiyet,خصوصيت
husye,خصيه
huşû,خشوع
huşûnet,خشونت
hutbe,خطبه
hutût,خطوط
huveynât,حوينات
huy,خوى
hay huy,هاى هوى
huylanmak,خويلانمق
huylu,خويلى
huysuz,خويسز
huysuzluk,خويسزلق
huzme,حزمه
huzûr,حضور
huzûzât,حظوظات
huzzâr,حضار
hübûb,هبوب
hübût,هبوط
hüccet,حجت
hüceyre,حجيره
hücre,حجره
hücrevi,حجروى
hücum,هجوم
hüdâvendigâr,خداوندكار
hükemâ,حكما
hükkâm,حكام
hükmen,حكماً
hükmî,حكمى
hükûmet,حكومت
hüküm,حكم
hükümdar,حكمدار
hükümdarlık,حكمدارلق
hükümfermâ,حكم فرما
hükümlü,حكملى
hükümnâme,حكمنامه
hükümran,حكمران
hükümranlık,حكمرانلق
hükümsüz,حكمسز
hükümsüzlük,حكمسزلك
hülle,حله
hülleci,حله‌جى
hümâyun,همايون
hümayûnnâme,همايوننامه
hüner,هنر
hünerli,هنرلى
hünersiz,هنرسز
hünersizlik,هنرسزلك
hüngür hüngür,هونگورهونگور
hünkâr,خنكار
hünnâb,حناب
hür,حر
hürmet,حرمت
hürmeten,حرمةً
hürmetli,حرمتلى
hürmetlice,حرمتليجه
hürmetsiz,حرمتسز
hürmetsizlik,حرمتسزلك
Hürmüz,هرمز
Hüseynabad,حسين‌آباد
hüsnükabul,حسن قبول
hüsün,حسن
hürriyet,حريت
hüviyet,هويت
hüzün,حزن
hüzünlenmek,حزنله‌نمك
hüzünlü,حزنلى
hüzünsüz,حزنسز
hüzzam,هزام
ıdlâl,اضلال
Iğdır,ايغدير
ıh,ايخ
ıhlamur,اخلامور
ıkınmak,اقينمق
ıkıntı,اقينتى
Ilgaz,ايلغاز
Ilgın,ايلغين
ılıca,ايليجه
ılıcak,ايليجق
ılık,ايليق
ılımak,ايليقمق
ılışdırmak,ايليشديرمق
ılıtmak,ايليتمق
ılliyyin,عليين
ımızganmak,اميزغانمق
ırak,ايراق
Irak,عراق
Iraklı,عراقلى
ırgat,ايرقات
ırk,عرق
ırk,ايرق
ırmak,ايرماق
ırz,عرض
ısgara,اسقار
ısınmak,ايصينمق
ısırgan,ايصيرغان
ısırılmak,ايصيرلمق
ısırık,ايصيريق
ısırmak,ايصيرمق
ısırtmak,ايصيرتمق
ısıtmak,اسيتمق
ıskaat,اسقاط
ıskat,اسقاط
ıskala,اسقاله
ıskara,اسقاره
ıskarta,اسقارطه
ıskatcı,اسقاطجى
ıslâh,اصلاح
ıslâhat,اصلاحات
Islâhiye,اصلاحيه
ıslak,اصلاق
ıslamak,ايصلامق
ıslanmak,ايصلانمق
ıslatmak,ايصلاتمق
ıslık,ايسليق
ısmarlama,اصمارلامه
ısmarlamak,اصمارلامق
ıspanak,اسپاناق
Isparta,اسپارطه
ısrâr,اصرار
ıssız,اصسز
ıstıfâ,أستفا
ıstılâh,اصطلاح
ıstırap,اضطراب
ıstırar,اضطرار
ışık,ايشيق
ışıl ışıl,ايشيل ايشيل
ışılamak,ايشيلامق
ışılatmak,ايشيلاتمق
ışıldamak,ايشيلدامق
ışıltı,ايشيلتى
ışımak,ايشيمق
ıtır,عطر
ıtrî,عطرى
ıtriyât,عطريات
ıttilâ,اطلاع
ızzet,عزت
ızzetlemek,عزتله‌مك
ızzetlenmek,عزتلنمك
ızzetli,عزتلى
iâde,اعاده
iâne,اعانه
iâre,اعاره
iâşe,اعاشه
ibâdet,عبادت
ibâdethâne,عبادتخانه
ibâha,اباحه
ibâre,عباره
ibâret,عبارت
ibdâ,ابداع
ibham,ابهام
ibik,ايبيك
ibkaa,ابقا
ibka,ابقا
iblâğ,ابلاغ
iblis,ابليس
ibrâ,ابراء
ibrânâme,ابرانامه
İbranî,عبرانى
ibrâz,ابراز
ibre,ابره
ibreli,ابره‌لى
ibret,عبرت
ibrik,ابريق
ibrişim,ابريشيم
ibriz,ابريز
ibtidâ,ابتدا
ibtidâî,ابتدائى
ibtilâ,ابتلا
ibtisam,ابتسام
ibtizâl,ابتذال
icâb,ايجاب
icâbet,اجابت
icad,ايجاد
icar,ايجار
icâre,اجاره
i’caz,اعجاز
icaz,ايجاز
icâzet,اجازت
icâzetnâme,اجازتنامه
icbâr,اجبار
iclâl,اجلال
iclâs,اجلاس
icmâ,اجماع
icmâl,اجمال
icmâlen,اجمالاً
icrâ,اجرا
ictihâd,اجتهاد
ictinâb,اجتناب
ictimâ,اجتماع
ictimâî,اجتماعى
iç,ايچ
İçel,ايچ‌ايل
içerilemek,ايچه‌ريله‌مك
içerlek,ايچرلك
içgüvey,ايچ گوگى
içim,ايچيم
için,ايچين
için,ايچون
içki,ايچكى
içkil,ايچكيل
içli,ايچلى
içlik,ايچلك
içmek,ايچمك
içre,ايچره
îdâdiye,اعداديه
idâre,اداره
idarehâne,اداره‌خانه
idâreli,اداره‌لى
idâm,اعدام
idâme,ادامه
idbâr,ادبار
iddet,عدت
iddia,ادعا
iddiacı,ادعاجى
iddialı,ادعالى
ideâl,ايده‌آل
idealist,ايده‌آليست
idealizm,ايده‌آليزم
ideoloji,ايده‌اولوژى
ideolok,ايده‌اولوغ
idgam,ادغام
idil,ايديل
idiş,ايگديش
idlâl,اضلال
ıdlâl,اضلال
idman,ادمان
idrâk,ادراك
idrar,ادرار
idrofil,ايدروفيل
idrojen,ايدروژه‌ن
idroterapi,ايدروته‌راپى
îfâ,ايفا
ifâde,افاده
ifâkat,افاقت
iffet,عفت
iffetli,عفتلى
iffetlû,عفتلو
ifrit,عفريت
ifham,افهام
iflâh,افلاح
iflâs,افلاس
ifnâ,افنا
ifrağ,افراغ
ifrat,افراط
ifrâz,افراز
ifsâd,افساد
ifşâ,افشا
iftar,افطار
iftihar,افتخار
iftirâ,افترا
iftirak,افتراق
iğ,ايگ
iğbirâr,اغبرار
iğci,ايگجى
iğde,ايگده
iğfâl,اغفال
iğilmek,اگيلمك
iğmek,اگمك
iğne,ايگنه
iğneardı,ايگنه‌آردى
iğnedan,ايگنه‌دان
iğnelemek,ايگنه‌له‌مك
iğnelik,ايگنه‌لك
iğrelti,اگرلتى
iğrendirmek,ايگره‌نديرمك
iğrenecek,ايگره‌نه‌جك
iğrenç,ايگرنج
iğrenmek,ايگره‌نمك
iğreti,اگرتى
iğri,اگرى
iğribacak,اگرى باجاق
iğri büğrü,اگرى بوكرى
iğridir,اگيردير
iğrik,ايگريك
iğrilmek,اگرلمك
iğvâ,اغوا
ihâle,احاله
ihânet,اهانت
ihâta,احاطه
ihbâr,اخبار
ihbâri,اخبارى
ihbâriye,اخباريه
ihbarnâme,اخبارنامه
ihdâs,احداث
ihlâl,اخلال
ihlâs,اخلاص
ihraak,احراف
ihrak,احراف
ihraç,اخراج
ihrâm,احرام
ihrâz,احراز
ihsân,احسان
ihsas,احساس
ihtar,اخطار
ihticâc,احتجاج
ihtidâ,اهتدا
ihtifâl,احتفال
ihtikan,احتقان
ihtikâr,احتكار
ihtilâf,اختلاف
ihtilâl,اختلال
ihtilâm,احتلام
ihtilât,اختلاط
ihtimâl,احتمال
ihtimam,اهتمام
ihtirâ,اختراع
ihtiraak,اختراق
ihtirak,اختراق
ihtirâî,اختراعى
ihtirâm,احترام
ihtirâs,احتراص
ihtirâz,احتراز
ihtisab,احتساب
ihtisâr,اختصار
ihtisâren,اختصاراً
ihtisas,احتساس
ihtişâm,احتشام
ihtivâ,احتوا
ihtiyâc,احتياج
ihtiyar,اختيار
ihtiyâri,اختيارى
ihtiyarlamak,اختيارلامق
ihtiyarlatmak,اختيارلاتمق
ihtiyarlık,اختيارلق
ihtiyat,احتياط
ihtiyâten,احتياطاً
ihtiyâtî,احتياطى
ihtizâr,احتضاد
ihtizaz,اهتزاز
ihvan,اخوان
ihyâ,اجيا
ikaa,ايقاع
ika,ايقاع
ikaame,اقامه
ikame,اقامه
ikâamet,اقامت
îkaz,ایقاظ
ikbâl,اقبال
ikdam,اقدام
iken,ايكن
iki,ايكى
ikilemek,ايكيله‌مك
ikili,ايكيلى
ikilik,ايكيلك
ikinci,ايكنجى
ikindi,ايكندى
ikiz,ايكيز
iklim,اقليم
ikmâl,اكمال
iknâ,اقناع
ikrah,اكراه
ikram,اكرام
ikrâmiye,اكراميه
ikrar,اقرار
ikraz,اقراض
iksir,اكسير
iktisad,اقتصاد
iktizâ,اقتضا
iktibas,اقتباس
iktidâ,اقتدا
iktidar,اقتدار
iktifâ,اكتفا
iktiran,اقتران
iktisâb,اكتساب
ilâ,اعلا
ilâç,علاج
ilâçlı,علاجلى
ilâçsız,علاجسز
ilâh,الٓه
ilâhe,الٓهه
ilâhi,الٓهى
ilâhiyat,الٓهيات
ilâhiyûn,الٓهيون
ilâm,اعلام
ilân,اعلان
ilâve,علاوه
ilâveli,علاولى
ilâveten,علاوةً
ilcâ,الجا
ilcâat,الجاآت
ile,ايله
ileri,ايلرى
ileride,ايلريده
ilerde,ايلريده
ilerlemek,ايلريله‌مك
ilerletmek,ايلريله‌تمك
iletmek,ايلتمك
ilgâ,الغا
ilhad,الحاد
ilhak,الحاق
ilham,الهام
ilik,ايليك
iliklemek,ايليكله‌مك
ilikli,ايليكلى
ilim,علم
ilinti,ايلينتى
ilişdirmek,ايليشديرمك
